Year;Ref;Goals;Home;Attack;Defense
2006;126;2;Home;Vasco-RJ;Atletico-PR
2006;126;1;Away;Atletico-PR;Vasco-RJ
2006;127;3;Home;Santa Cruz-PE;Flamengo-RJ
2006;127;0;Away;Flamengo-RJ;Santa Cruz-PE
2006;128;3;Home;Santos-SP;Juventude-RS
2006;128;2;Away;Juventude-RS;Santos-SP
2006;129;0;Home;Internacional-RS;Botafogo-RJ
2006;129;0;Away;Botafogo-RJ;Internacional-RS
2006;130;1;Home;Goias-GO;Palmeiras-SP
2006;130;3;Away;Palmeiras-SP;Goias-GO
2006;131;1;Home;Juventude-RS;Figueirense-SC
2006;131;0;Away;Figueirense-SC;Juventude-RS
2006;132;1;Home;Sao Caetano-SP;Ponte Preta-SP
2006;132;1;Away;Ponte Preta-SP;Sao Caetano-SP
2006;133;4;Home;Palmeiras-SP;Parana-PR
2006;133;2;Away;Parana-PR;Palmeiras-SP
2006;134;1;Home;Atletico-PR;Flamengo-RJ
2006;134;0;Away;Flamengo-RJ;Atletico-PR
2006;135;1;Home;Vasco-RJ;Cruzeiro-MG
2006;135;0;Away;Cruzeiro-MG;Vasco-RJ
2006;136;1;Home;Santa Cruz-PE;Corinthians-SP
2006;136;0;Away;Corinthians-SP;Santa Cruz-PE
2006;137;0;Home;Sao Paulo-SP;Santos-SP
2006;137;4;Away;Santos-SP;Sao Paulo-SP
2006;138;1;Home;Fluminense-RJ;Botafogo-RJ
2006;138;1;Away;Botafogo-RJ;Fluminense-RJ
2006;139;0;Home;Internacional-RS;Gremio-RS
2006;139;0;Away;Gremio-RS;Internacional-RS
2006;140;1;Home;Goias-GO;Fortaleza-CE
2006;140;1;Away;Fortaleza-CE;Goias-GO
2006;141;1;Home;Gremio-RS;Juventude-RS
2006;141;0;Away;Juventude-RS;Gremio-RS
2006;142;1;Home;Figueirense-SC;Sao Caetano-SP
2006;142;1;Away;Sao Caetano-SP;Figueirense-SC
2006;143;1;Home;Flamengo-RJ;Goias-GO
2006;143;0;Away;Goias-GO;Flamengo-RJ
2006;144;2;Home;Corinthians-SP;Atletico-PR
2006;144;1;Away;Atletico-PR;Corinthians-SP
2006;145;1;Home;Botafogo-RJ;Sao Paulo-SP
2006;145;1;Away;Sao Paulo-SP;Botafogo-RJ
2006;146;2;Home;Santos-SP;Internacional-RS
2006;146;1;Away;Internacional-RS;Santos-SP
2006;147;2;Home;Parana-PR;Vasco-RJ
2006;147;1;Away;Vasco-RJ;Parana-PR
2006;148;3;Home;Ponte Preta-SP;Fluminense-RJ
2006;148;0;Away;Fluminense-RJ;Ponte Preta-SP
2006;149;3;Home;Cruzeiro-MG;Santa Cruz-PE
2006;149;3;Away;Santa Cruz-PE;Cruzeiro-MG
2006;150;0;Home;Fortaleza-CE;Palmeiras-SP
2006;150;0;Away;Palmeiras-SP;Fortaleza-CE
2006;151;0;Home;Juventude-RS;Vasco-RJ
2006;151;0;Away;Vasco-RJ;Juventude-RS
2006;152;2;Home;Sao Caetano-SP;Santa Cruz-PE
2006;152;0;Away;Santa Cruz-PE;Sao Caetano-SP
2006;153;0;Home;Flamengo-RJ;Ponte Preta-SP
2006;153;0;Away;Ponte Preta-SP;Flamengo-RJ
2006;154;1;Home;Corinthians-SP;Figueirense-SC
2006;154;3;Away;Figueirense-SC;Corinthians-SP
2006;155;1;Home;Botafogo-RJ;Palmeiras-SP
2006;155;3;Away;Palmeiras-SP;Botafogo-RJ
2006;156;2;Home;Gremio-RS;Atletico-PR
2006;156;0;Away;Atletico-PR;Gremio-RS
2006;157;2;Home;Cruzeiro-MG;Fluminense-RJ
2006;157;3;Away;Fluminense-RJ;Cruzeiro-MG
2006;158;1;Home;Fortaleza-CE;Internacional-RS
2006;158;2;Away;Internacional-RS;Fortaleza-CE
2006;159;2;Home;Sao Paulo-SP;Goias-GO
2006;159;1;Away;Goias-GO;Sao Paulo-SP
2006;160;1;Home;Parana-PR;Santos-SP
2006;160;1;Away;Santos-SP;Parana-PR
2006;161;1;Home;Ponte Preta-SP;Fortaleza-CE
2006;161;3;Away;Fortaleza-CE;Ponte Preta-SP
2006;162;1;Home;Vasco-RJ;Sao Caetano-SP
2006;162;2;Away;Sao Caetano-SP;Vasco-RJ
2006;163;2;Home;Santa Cruz-PE;Gremio-RS
2006;163;4;Away;Gremio-RS;Santa Cruz-PE
2006;164;2;Home;Goias-GO;Botafogo-RJ
2006;164;2;Away;Botafogo-RJ;Goias-GO
2006;165;1;Home;Figueirense-SC;Flamengo-RJ
2006;165;1;Away;Flamengo-RJ;Figueirense-SC
2006;166;2;Home;Santos-SP;Cruzeiro-MG
2006;166;0;Away;Cruzeiro-MG;Santos-SP
2006;167;1;Home;Fluminense-RJ;Corinthians-SP
2006;167;2;Away;Corinthians-SP;Fluminense-RJ
2006;168;3;Home;Internacional-RS;Parana-PR
2006;168;2;Away;Parana-PR;Internacional-RS
2006;169;0;Home;Atletico-PR;Sao Paulo-SP
2006;169;0;Away;Sao Paulo-SP;Atletico-PR
2006;170;1;Home;Palmeiras-SP;Juventude-RS
2006;170;1;Away;Juventude-RS;Palmeiras-SP
2006;171;3;Home;Ponte Preta-SP;Goias-GO
2006;171;2;Away;Goias-GO;Ponte Preta-SP
2006;172;1;Home;Flamengo-RJ;Gremio-RS
2006;172;0;Away;Gremio-RS;Flamengo-RJ
2006;173;1;Home;Fluminense-RJ;Santa Cruz-PE
2006;173;1;Away;Santa Cruz-PE;Fluminense-RJ
2006;174;0;Home;Santos-SP;Vasco-RJ
2006;174;2;Away;Vasco-RJ;Santos-SP
2006;175;2;Home;Cruzeiro-MG;Sao Paulo-SP
2006;175;2;Away;Sao Paulo-SP;Cruzeiro-MG
2006;176;4;Home;Fortaleza-CE;Juventude-RS
2006;176;1;Away;Juventude-RS;Fortaleza-CE
2006;177;3;Home;Figueirense-SC;Atletico-PR
2006;177;3;Away;Atletico-PR;Figueirense-SC
2006;178;1;Home;Parana-PR;Sao Caetano-SP
2006;178;0;Away;Sao Caetano-SP;Parana-PR
2006;179;1;Home;Internacional-RS;Palmeiras-SP
2006;179;1;Away;Palmeiras-SP;Internacional-RS
2006;180;1;Home;Corinthians-SP;Botafogo-RJ
2006;180;0;Away;Botafogo-RJ;Corinthians-SP
2006;181;4;Home;Gremio-RS;Fortaleza-CE
2006;181;1;Away;Fortaleza-CE;Gremio-RS
2006;182;2;Home;Goias-GO;Internacional-RS
2006;182;2;Away;Internacional-RS;Goias-GO
2006;183;3;Home;Palmeiras-SP;Fluminense-RJ
2006;183;0;Away;Fluminense-RJ;Palmeiras-SP
2006;184;1;Home;Botafogo-RJ;Cruzeiro-MG
2006;184;0;Away;Cruzeiro-MG;Botafogo-RJ
2006;185;1;Home;Santa Cruz-PE;Santos-SP
2006;185;1;Away;Santos-SP;Santa Cruz-PE
2006;186;0;Home;Juventude-RS;Corinthians-SP
2006;186;0;Away;Corinthians-SP;Juventude-RS
2006;187;2;Home;Sao Caetano-SP;Flamengo-RJ
2006;187;2;Away;Flamengo-RJ;Sao Caetano-SP
2006;188;3;Home;Sao Paulo-SP;Parana-PR
2006;188;2;Away;Parana-PR;Sao Paulo-SP
2006;189;3;Home;Atletico-PR;Ponte Preta-SP
2006;189;0;Away;Ponte Preta-SP;Atletico-PR
2006;190;3;Home;Vasco-RJ;Figueirense-SC
2006;190;1;Away;Figueirense-SC;Vasco-RJ
2006;191;1;Home;Fluminense-RJ;Atletico-PR
2006;191;2;Away;Atletico-PR;Fluminense-RJ
2006;192;1;Home;Internacional-RS;Vasco-RJ
2006;192;2;Away;Vasco-RJ;Internacional-RS
2006;193;2;Home;Figueirense-SC;Santa Cruz-PE
2006;193;0;Away;Santa Cruz-PE;Figueirense-SC
2006;194;2;Home;Santos-SP;Goias-GO
2006;194;1;Away;Goias-GO;Santos-SP
2006;195;1;Home;Ponte Preta-SP;Palmeiras-SP
2006;195;1;Away;Palmeiras-SP;Ponte Preta-SP
2006;196;0;Home;Parana-PR;Juventude-RS
2006;196;1;Away;Juventude-RS;Parana-PR
2006;197;1;Home;Flamengo-RJ;Sao Paulo-SP
2006;197;1;Away;Sao Paulo-SP;Flamengo-RJ
2006;198;3;Home;Cruzeiro-MG;Sao Caetano-SP
2006;198;0;Away;Sao Caetano-SP;Cruzeiro-MG
2006;199;2;Home;Fortaleza-CE;Botafogo-RJ
2006;199;3;Away;Botafogo-RJ;Fortaleza-CE
2006;200;0;Home;Corinthians-SP;Gremio-RS
2006;200;2;Away;Gremio-RS;Corinthians-SP
2006;201;4;Home;Botafogo-RJ;Parana-PR
2006;201;0;Away;Parana-PR;Botafogo-RJ
2006;202;2;Home;Gremio-RS;Cruzeiro-MG
2006;202;1;Away;Cruzeiro-MG;Gremio-RS
2006;203;1;Home;Juventude-RS;Flamengo-RJ
2006;203;0;Away;Flamengo-RJ;Juventude-RS
2006;204;1;Home;Sao Paulo-SP;Fortaleza-CE
2006;204;1;Away;Fortaleza-CE;Sao Paulo-SP
2006;205;0;Home;Sao Caetano-SP;Corinthians-SP
2006;205;1;Away;Corinthians-SP;Sao Caetano-SP
2006;206;2;Home;Atletico-PR;Santos-SP
2006;206;1;Away;Santos-SP;Atletico-PR
2006;207;2;Home;Vasco-RJ;Ponte Preta-SP
2006;207;2;Away;Ponte Preta-SP;Vasco-RJ
2006;208;3;Home;Goias-GO;Fluminense-RJ
2006;208;1;Away;Fluminense-RJ;Goias-GO
2006;209;0;Home;Santa Cruz-PE;Internacional-RS
2006;209;2;Away;Internacional-RS;Santa Cruz-PE
2006;210;1;Home;Palmeiras-SP;Figueirense-SC
2006;210;1;Away;Figueirense-SC;Palmeiras-SP
2006;211;1;Home;Fluminense-RJ;Vasco-RJ
2006;211;1;Away;Vasco-RJ;Fluminense-RJ
2006;212;2;Home;Gremio-RS;Parana-PR
2006;212;1;Away;Parana-PR;Gremio-RS
2006;213;2;Home;Cruzeiro-MG;Figueirense-SC
2006;213;2;Away;Figueirense-SC;Cruzeiro-MG
2006;214;5;Home;Santos-SP;Palmeiras-SP
2006;214;1;Away;Palmeiras-SP;Santos-SP
2006;215;0;Home;Sao Caetano-SP;Fortaleza-CE
2006;215;0;Away;Fortaleza-CE;Sao Caetano-SP
2006;216;0;Home;Atletico-PR;Botafogo-RJ
2006;216;5;Away;Botafogo-RJ;Atletico-PR
2006;217;1;Home;Flamengo-RJ;Internacional-RS
2006;217;2;Away;Internacional-RS;Flamengo-RJ
2006;218;2;Home;Goias-GO;Juventude-RS
2006;218;0;Away;Juventude-RS;Goias-GO
2006;219;1;Home;Santa Cruz-PE;Sao Paulo-SP
2006;219;3;Away;Sao Paulo-SP;Santa Cruz-PE
2006;220;1;Home;Corinthians-SP;Ponte Preta-SP
2006;220;0;Away;Ponte Preta-SP;Corinthians-SP
2006;221;0;Home;Botafogo-RJ;Flamengo-RJ
2006;221;2;Away;Flamengo-RJ;Botafogo-RJ
2006;222;2;Home;Internacional-RS;Atletico-PR
2006;222;0;Away;Atletico-PR;Internacional-RS
2006;223;2;Home;Figueirense-SC;Goias-GO
2006;223;2;Away;Goias-GO;Figueirense-SC
2006;224;0;Home;Sao Paulo-SP;Corinthians-SP
2006;224;0;Away;Corinthians-SP;Sao Paulo-SP
2006;225;2;Home;Ponte Preta-SP;Santa Cruz-PE
2006;225;0;Away;Santa Cruz-PE;Ponte Preta-SP
2006;226;1;Home;Parana-PR;Fluminense-RJ
2006;226;0;Away;Fluminense-RJ;Parana-PR
2006;227;1;Home;Vasco-RJ;Gremio-RS
2006;227;1;Away;Gremio-RS;Vasco-RJ
2006;228;2;Home;Juventude-RS;Cruzeiro-MG
2006;228;0;Away;Cruzeiro-MG;Juventude-RS
2006;229;1;Home;Fortaleza-CE;Santos-SP
2006;229;1;Away;Santos-SP;Fortaleza-CE
2006;230;3;Home;Palmeiras-SP;Sao Caetano-SP
2006;230;1;Away;Sao Caetano-SP;Palmeiras-SP
2006;231;2;Home;Fluminense-RJ;Figueirense-SC
2006;231;0;Away;Figueirense-SC;Fluminense-RJ
2006;232;4;Home;Gremio-RS;Botafogo-RJ
2006;232;0;Away;Botafogo-RJ;Gremio-RS
2006;233;1;Home;Juventude-RS;Sao Caetano-SP
2006;233;0;Away;Sao Caetano-SP;Juventude-RS
2006;234;2;Home;Sao Paulo-SP;Internacional-RS
2006;234;0;Away;Internacional-RS;Sao Paulo-SP
2006;235;1;Home;Ponte Preta-SP;Santos-SP
2006;235;0;Away;Santos-SP;Ponte Preta-SP
2006;236;2;Home;Atletico-PR;Santa Cruz-PE
2006;236;1;Away;Santa Cruz-PE;Atletico-PR
2006;237;0;Home;Vasco-RJ;Goias-GO
2006;237;0;Away;Goias-GO;Vasco-RJ
2006;238;1;Home;Cruzeiro-MG;Palmeiras-SP
2006;238;0;Away;Palmeiras-SP;Cruzeiro-MG
2006;239;3;Home;Fortaleza-CE;Flamengo-RJ
2006;239;4;Away;Flamengo-RJ;Fortaleza-CE
2006;240;1;Home;Corinthians-SP;Parana-PR
2006;240;0;Away;Parana-PR;Corinthians-SP
2006;241;2;Home;Botafogo-RJ;Juventude-RS
2006;241;1;Away;Juventude-RS;Botafogo-RJ
2006;242;4;Home;Gremio-RS;Ponte Preta-SP
2006;242;0;Away;Ponte Preta-SP;Gremio-RS
2006;243;1;Home;Figueirense-SC;Internacional-RS
2006;243;0;Away;Internacional-RS;Figueirense-SC
2006;244;1;Home;Santos-SP;Fluminense-RJ
2006;244;1;Away;Fluminense-RJ;Santos-SP
2006;245;0;Home;Sao Caetano-SP;Sao Paulo-SP
2006;245;1;Away;Sao Paulo-SP;Sao Caetano-SP
2006;246;2;Home;Parana-PR;Fortaleza-CE
2006;246;0;Away;Fortaleza-CE;Parana-PR
2006;247;1;Home;Flamengo-RJ;Cruzeiro-MG
2006;247;0;Away;Cruzeiro-MG;Flamengo-RJ
2006;248;2;Home;Goias-GO;Atletico-PR
2006;248;2;Away;Atletico-PR;Goias-GO
2006;249;3;Home;Santa Cruz-PE;Palmeiras-SP
2006;249;2;Away;Palmeiras-SP;Santa Cruz-PE
2006;250;1;Home;Corinthians-SP;Vasco-RJ
2006;250;1;Away;Vasco-RJ;Corinthians-SP
2006;251;1;Home;Fluminense-RJ;Fortaleza-CE
2006;251;3;Away;Fortaleza-CE;Fluminense-RJ
2006;252;1;Home;Internacional-RS;Corinthians-SP
2006;252;1;Away;Corinthians-SP;Internacional-RS
2006;253;0;Home;Figueirense-SC;Parana-PR
2006;253;1;Away;Parana-PR;Figueirense-SC
2006;254;3;Home;Santos-SP;Flamengo-RJ
2006;254;0;Away;Flamengo-RJ;Santos-SP
2006;255;0;Home;Ponte Preta-SP;Cruzeiro-MG
2006;255;1;Away;Cruzeiro-MG;Ponte Preta-SP
2006;256;3;Home;Atletico-PR;Sao Caetano-SP
2006;256;1;Away;Sao Caetano-SP;Atletico-PR
2006;257;0;Home;Vasco-RJ;Botafogo-RJ
2006;257;0;Away;Botafogo-RJ;Vasco-RJ
2006;258;4;Home;Goias-GO;Gremio-RS
2006;258;0;Away;Gremio-RS;Goias-GO
2006;259;1;Home;Santa Cruz-PE;Juventude-RS
2006;259;0;Away;Juventude-RS;Santa Cruz-PE
2006;260;3;Home;Palmeiras-SP;Sao Paulo-SP
2006;260;1;Away;Sao Paulo-SP;Palmeiras-SP
2006;261;3;Home;Botafogo-RJ;Santa Cruz-PE
2006;261;0;Away;Santa Cruz-PE;Botafogo-RJ
2006;262;2;Home;Gremio-RS;Palmeiras-SP
2006;262;1;Away;Palmeiras-SP;Gremio-RS
2006;263;3;Home;Juventude-RS;Atletico-PR
2006;263;2;Away;Atletico-PR;Juventude-RS
2006;264;5;Home;Sao Paulo-SP;Vasco-RJ
2006;264;1;Away;Vasco-RJ;Sao Paulo-SP
2006;265;1;Home;Sao Caetano-SP;Goias-GO
2006;265;2;Away;Goias-GO;Sao Caetano-SP
2006;266;2;Home;Parana-PR;Ponte Preta-SP
2006;266;1;Away;Ponte Preta-SP;Parana-PR
2006;267;4;Home;Flamengo-RJ;Fluminense-RJ
2006;267;1;Away;Fluminense-RJ;Flamengo-RJ
2006;268;2;Home;Cruzeiro-MG;Internacional-RS
2006;268;1;Away;Internacional-RS;Cruzeiro-MG
2006;269;1;Home;Fortaleza-CE;Figueirense-SC
2006;269;1;Away;Figueirense-SC;Fortaleza-CE
2006;270;0;Home;Corinthians-SP;Santos-SP
2006;270;3;Away;Santos-SP;Corinthians-SP
2006;271;1;Home;Fluminense-RJ;Sao Paulo-SP
2006;271;2;Away;Sao Paulo-SP;Fluminense-RJ
2006;272;1;Home;Internacional-RS;Sao Caetano-SP
2006;272;0;Away;Sao Caetano-SP;Internacional-RS
2006;273;1;Home;Figueirense-SC;Botafogo-RJ
2006;273;0;Away;Botafogo-RJ;Figueirense-SC
2006;274;1;Home;Santos-SP;Gremio-RS
2006;274;0;Away;Gremio-RS;Santos-SP
2006;275;3;Home;Ponte Preta-SP;Juventude-RS
2006;275;1;Away;Juventude-RS;Ponte Preta-SP
2006;276;1;Home;Atletico-PR;Cruzeiro-MG
2006;276;1;Away;Cruzeiro-MG;Atletico-PR
2006;277;2;Home;Vasco-RJ;Fortaleza-CE
2006;277;0;Away;Fortaleza-CE;Vasco-RJ
2006;278;3;Home;Goias-GO;Corinthians-SP
2006;278;1;Away;Corinthians-SP;Goias-GO
2006;279;1;Home;Santa Cruz-PE;Parana-PR
2006;279;3;Away;Parana-PR;Santa Cruz-PE
2006;280;3;Home;Palmeiras-SP;Flamengo-RJ
2006;280;1;Away;Flamengo-RJ;Palmeiras-SP
2006;281;4;Home;Botafogo-RJ;Santos-SP
2006;281;3;Away;Santos-SP;Botafogo-RJ
2006;282;2;Home;Internacional-RS;Fluminense-RJ
2006;282;0;Away;Fluminense-RJ;Internacional-RS
2006;283;2;Home;Figueirense-SC;Ponte Preta-SP
2006;283;1;Away;Ponte Preta-SP;Figueirense-SC
2006;284;5;Home;Sao Paulo-SP;Juventude-RS
2006;284;0;Away;Juventude-RS;Sao Paulo-SP
2006;285;0;Home;Sao Caetano-SP;Gremio-RS
2006;285;2;Away;Gremio-RS;Sao Caetano-SP
2006;286;1;Home;Parana-PR;Goias-GO
2006;286;0;Away;Goias-GO;Parana-PR
2006;287;3;Home;Flamengo-RJ;Corinthians-SP
2006;287;0;Away;Corinthians-SP;Flamengo-RJ
2006;288;0;Home;Cruzeiro-MG;Fortaleza-CE
2006;288;0;Away;Fortaleza-CE;Cruzeiro-MG
2006;289;0;Home;Santa Cruz-PE;Vasco-RJ
2006;289;4;Away;Vasco-RJ;Santa Cruz-PE
2006;290;2;Home;Palmeiras-SP;Atletico-PR
2006;290;2;Away;Atletico-PR;Palmeiras-SP
2006;291;2;Home;Botafogo-RJ;Sao Caetano-SP
2006;291;1;Away;Sao Caetano-SP;Botafogo-RJ
2006;292;1;Home;Gremio-RS;Sao Paulo-SP
2006;292;1;Away;Sao Paulo-SP;Gremio-RS
2006;293;1;Home;Juventude-RS;Fluminense-RJ
2006;293;1;Away;Fluminense-RJ;Juventude-RS
2006;294;2;Home;Santos-SP;Figueirense-SC
2006;294;1;Away;Figueirense-SC;Santos-SP
2006;295;0;Home;Ponte Preta-SP;Internacional-RS
2006;295;2;Away;Internacional-RS;Ponte Preta-SP
2006;296;0;Home;Parana-PR;Flamengo-RJ
2006;296;2;Away;Flamengo-RJ;Parana-PR
2006;297;3;Home;Vasco-RJ;Palmeiras-SP
2006;297;0;Away;Palmeiras-SP;Vasco-RJ
2006;298;5;Home;Goias-GO;Santa Cruz-PE
2006;298;3;Away;Santa Cruz-PE;Goias-GO
2006;299;3;Home;Fortaleza-CE;Atletico-PR
2006;299;4;Away;Atletico-PR;Fortaleza-CE
2006;300;1;Home;Corinthians-SP;Cruzeiro-MG
2006;300;0;Away;Cruzeiro-MG;Corinthians-SP
2006;301;1;Home;Fluminense-RJ;Gremio-RS
2006;301;2;Away;Gremio-RS;Fluminense-RJ
2006;302;1;Home;Internacional-RS;Juventude-RS
2006;302;0;Away;Juventude-RS;Internacional-RS
2006;303;0;Home;Figueirense-SC;Sao Paulo-SP
2006;303;2;Away;Sao Paulo-SP;Figueirense-SC
2006;304;1;Home;Santos-SP;Sao Caetano-SP
2006;304;0;Away;Sao Caetano-SP;Santos-SP
2006;305;1;Home;Ponte Preta-SP;Botafogo-RJ
2006;305;2;Away;Botafogo-RJ;Ponte Preta-SP
2006;306;4;Home;Atletico-PR;Parana-PR
2006;306;0;Away;Parana-PR;Atletico-PR
2006;307;3;Home;Vasco-RJ;Flamengo-RJ
2006;307;1;Away;Flamengo-RJ;Vasco-RJ
2006;308;2;Home;Goias-GO;Cruzeiro-MG
2006;308;3;Away;Cruzeiro-MG;Goias-GO
2006;309;0;Home;Santa Cruz-PE;Fortaleza-CE
2006;309;1;Away;Fortaleza-CE;Santa Cruz-PE
2006;310;1;Home;Corinthians-SP;Palmeiras-SP
2006;310;0;Away;Palmeiras-SP;Corinthians-SP
2006;311;0;Home;Botafogo-RJ;Internacional-RS
2006;311;1;Away;Internacional-RS;Botafogo-RJ
2006;312;1;Home;Gremio-RS;Figueirense-SC
2006;312;2;Away;Figueirense-SC;Gremio-RS
2006;313;3;Home;Juventude-RS;Santos-SP
2006;313;2;Away;Santos-SP;Juventude-RS
2006;314;1;Home;Sao Paulo-SP;Ponte Preta-SP
2006;314;1;Away;Ponte Preta-SP;Sao Paulo-SP
2006;315;1;Home;Sao Caetano-SP;Fluminense-RJ
2006;315;1;Away;Fluminense-RJ;Sao Caetano-SP
2006;316;6;Home;Atletico-PR;Vasco-RJ
2006;316;4;Away;Vasco-RJ;Atletico-PR
2006;317;1;Home;Flamengo-RJ;Santa Cruz-PE
2006;317;1;Away;Santa Cruz-PE;Flamengo-RJ
2006;318;2;Home;Cruzeiro-MG;Parana-PR
2006;318;2;Away;Parana-PR;Cruzeiro-MG
2006;319;0;Home;Fortaleza-CE;Corinthians-SP
2006;319;4;Away;Corinthians-SP;Fortaleza-CE
2006;320;1;Home;Palmeiras-SP;Goias-GO
2006;320;3;Away;Goias-GO;Palmeiras-SP
2006;321;2;Home;Botafogo-RJ;Fluminense-RJ
2006;321;1;Away;Fluminense-RJ;Botafogo-RJ
2006;322;0;Home;Gremio-RS;Internacional-RS
2006;322;1;Away;Internacional-RS;Gremio-RS
2006;323;1;Home;Figueirense-SC;Juventude-RS
2006;323;0;Away;Juventude-RS;Figueirense-SC
2006;324;0;Home;Santos-SP;Sao Paulo-SP
2006;324;1;Away;Sao Paulo-SP;Santos-SP
2006;325;1;Home;Ponte Preta-SP;Sao Caetano-SP
2006;325;2;Away;Sao Caetano-SP;Ponte Preta-SP
2006;326;4;Home;Parana-PR;Palmeiras-SP
2006;326;2;Away;Palmeiras-SP;Parana-PR
2006;327;1;Home;Flamengo-RJ;Atletico-PR
2006;327;0;Away;Atletico-PR;Flamengo-RJ
2006;328;2;Home;Cruzeiro-MG;Vasco-RJ
2006;328;1;Away;Vasco-RJ;Cruzeiro-MG
2006;329;0;Home;Fortaleza-CE;Goias-GO
2006;329;3;Away;Goias-GO;Fortaleza-CE
2006;330;1;Home;Corinthians-SP;Santa Cruz-PE
2006;330;0;Away;Santa Cruz-PE;Corinthians-SP
2006;331;0;Home;Fluminense-RJ;Ponte Preta-SP
2006;331;0;Away;Ponte Preta-SP;Fluminense-RJ
2006;332;0;Home;Internacional-RS;Santos-SP
2006;332;0;Away;Santos-SP;Internacional-RS
2006;333;1;Home;Juventude-RS;Gremio-RS
2006;333;2;Away;Gremio-RS;Juventude-RS
2006;334;3;Home;Sao Paulo-SP;Botafogo-RJ
2006;334;0;Away;Botafogo-RJ;Sao Paulo-SP
2006;335;3;Home;Sao Caetano-SP;Figueirense-SC
2006;335;1;Away;Figueirense-SC;Sao Caetano-SP
2006;336;1;Home;Atletico-PR;Corinthians-SP
2006;336;2;Away;Corinthians-SP;Atletico-PR
2006;337;3;Home;Vasco-RJ;Parana-PR
2006;337;1;Away;Parana-PR;Vasco-RJ
2006;338;0;Home;Goias-GO;Flamengo-RJ
2006;338;1;Away;Flamengo-RJ;Goias-GO
2006;339;4;Home;Santa Cruz-PE;Cruzeiro-MG
2006;339;1;Away;Cruzeiro-MG;Santa Cruz-PE
2006;340;3;Home;Palmeiras-SP;Fortaleza-CE
2006;340;0;Away;Fortaleza-CE;Palmeiras-SP
2006;341;1;Home;Fluminense-RJ;Cruzeiro-MG
2006;341;0;Away;Cruzeiro-MG;Fluminense-RJ
2006;342;3;Home;Internacional-RS;Fortaleza-CE
2006;342;0;Away;Fortaleza-CE;Internacional-RS
2006;343;0;Home;Figueirense-SC;Corinthians-SP
2006;343;0;Away;Corinthians-SP;Figueirense-SC
2006;344;1;Home;Santos-SP;Parana-PR
2006;344;0;Away;Parana-PR;Santos-SP
2006;345;3;Home;Ponte Preta-SP;Flamengo-RJ
2006;345;0;Away;Flamengo-RJ;Ponte Preta-SP
2006;346;2;Home;Atletico-PR;Gremio-RS
2006;346;3;Away;Gremio-RS;Atletico-PR
2006;347;1;Home;Vasco-RJ;Juventude-RS
2006;347;1;Away;Juventude-RS;Vasco-RJ
2006;348;0;Home;Goias-GO;Sao Paulo-SP
2006;348;2;Away;Sao Paulo-SP;Goias-GO
2006;349;0;Home;Santa Cruz-PE;Sao Caetano-SP
2006;349;3;Away;Sao Caetano-SP;Santa Cruz-PE
2006;350;2;Home;Palmeiras-SP;Botafogo-RJ
2006;350;1;Away;Botafogo-RJ;Palmeiras-SP
2006;351;2;Home;Botafogo-RJ;Goias-GO
2006;351;2;Away;Goias-GO;Botafogo-RJ
2006;352;3;Home;Gremio-RS;Santa Cruz-PE
2006;352;1;Away;Santa Cruz-PE;Gremio-RS
2006;353;3;Home;Juventude-RS;Palmeiras-SP
2006;353;2;Away;Palmeiras-SP;Juventude-RS
2006;354;1;Home;Sao Paulo-SP;Atletico-PR
2006;354;1;Away;Atletico-PR;Sao Paulo-SP
2006;355;0;Home;Sao Caetano-SP;Vasco-RJ
2006;355;1;Away;Vasco-RJ;Sao Caetano-SP
2006;356;1;Home;Parana-PR;Internacional-RS
2006;356;0;Away;Internacional-RS;Parana-PR
2006;357;0;Home;Flamengo-RJ;Figueirense-SC
2006;357;2;Away;Figueirense-SC;Flamengo-RJ
2006;358;1;Home;Cruzeiro-MG;Santos-SP
2006;358;1;Away;Santos-SP;Cruzeiro-MG
2006;359;1;Home;Fortaleza-CE;Ponte Preta-SP
2006;359;0;Away;Ponte Preta-SP;Fortaleza-CE
2006;360;1;Home;Corinthians-SP;Fluminense-RJ
2006;360;1;Away;Fluminense-RJ;Corinthians-SP
2006;361;0;Home;Botafogo-RJ;Corinthians-SP
2006;361;0;Away;Corinthians-SP;Botafogo-RJ
2006;362;3;Home;Gremio-RS;Flamengo-RJ
2006;362;0;Away;Flamengo-RJ;Gremio-RS
2006;363;2;Home;Juventude-RS;Fortaleza-CE
2006;363;2;Away;Fortaleza-CE;Juventude-RS
2006;364;2;Home;Sao Paulo-SP;Cruzeiro-MG
2006;364;0;Away;Cruzeiro-MG;Sao Paulo-SP
2006;365;0;Home;Sao Caetano-SP;Parana-PR
2006;365;2;Away;Parana-PR;Sao Caetano-SP
2006;366;1;Home;Atletico-PR;Figueirense-SC
2006;366;4;Away;Figueirense-SC;Atletico-PR
2006;367;1;Home;Vasco-RJ;Santos-SP
2006;367;1;Away;Santos-SP;Vasco-RJ
2006;368;3;Home;Goias-GO;Ponte Preta-SP
2006;368;0;Away;Ponte Preta-SP;Goias-GO
2006;369;1;Home;Santa Cruz-PE;Fluminense-RJ
2006;369;2;Away;Fluminense-RJ;Santa Cruz-PE
2006;370;1;Home;Palmeiras-SP;Internacional-RS
2006;370;4;Away;Internacional-RS;Palmeiras-SP
